source,epoch,step,loss,lr,reward
reports\logs\dpo_query_compiler_104m_2273682.log,2,950,0.0227,0.00000025,
reports\logs\dpo_query_compiler_104m_2273682.log,2,975,0.0197,0.00000024,
reports\logs\dpo_query_compiler_104m_2273682.log,2,1000,0.0731,0.00000023,
reports\logs\dpo_query_compiler_104m_2273682.log,2,1025,0.0253,0.00000022,
reports\logs\dpo_query_compiler_104m_2273682.log,2,1050,0.0752,0.00000022,
reports\logs\dpo_query_compiler_104m_2273682.log,2,1075,0.2196,0.00000021,
reports\logs\dpo_query_compiler_104m_2273682.log,2,1100,0.2847,0.00000021,
reports\logs\dpo_query_compiler_104m_2273682.log,2,1125,0.2333,0.00000020,
reports\logs\dpo_query_compiler_104m_2273682.log,2,1150,0.0297,0.00000020,
reports\logs\dpo_query_compiler_104m_2273682.log,2,1175,0.2889,0.00000020,
reports\logs\dpo_query_compiler_104m_2273682.log,2,1199,0.3027,0.00000020,
reports\logs\dpo_query_compiler_104m_2273682.log,2,1200,0.0759,0.00000020,
